CustomerID;SalesOrderNumber;SalesAmount;OrderDate
15084;SO54147;2419.06;2020-03-09
14522;SO66951;53.99;2020-09-24
16190;SO72219;71.97;2020-12-03
21225;SO47141;2181.5625;2019-02-06
12188;SO54173;2354.98;2020-03-10
13314;SO58179;2410.94;2020-05-17
16466;SO48708;2181.5625;2019-06-27
22191;SO58150;94.46;2020-05-17
13185;SO58673;42.28;2020-05-26
12978;SO61576;50.23;2020-07-05
19726;SO52739;37.27;2020-02-14
12655;SO45885;3578.27;2018-10-10
29317;SO58629;2438.06;2020-05-25
12370;SO59276;26.97;2020-06-02
13472;SO60813;2518.98;2020-06-24
23417;SO55139;1155.48;2020-03-28
19622;SO62950;36.27;2020-07-28
11842;SO57885;39.99;2020-05-12
24079;SO58388;39.98;2020-05-21
17757;SO67521;24.99;2020-10-01
20835;SO48940;782.99;2019-07-17
22716;SO62337;553.97;2020-07-17
15685;SO47629;2443.35;2019-03-25
13776;SO54077;33.98;2020-03-08
19047;SO55711;71.95;2020-04-05
20536;SO68757;23.97;2020-10-20
28652;SO45650;3578.27;2018-09-09
17191;SO62669;2384.07;2020-07-23
27503;SO63511;21.49;2020-08-03
21916;SO64203;39.98;2020-08-14
29155;SO45240;3578.27;2018-07-28
25435;SO52979;36.59;2020-02-19
16032;SO53187;21.98;2020-02-23
17077;SO53722;88.46;2020-03-02
17468;SO54799;71.95;2020-03-21
21153;SO66147;1147.77;2020-09-10
18832;SO72905;2334.98;2020-12-12
19365;SO73590;2372.95;2020-12-21
14453;SO50419;1000.4375;2019-11-04
19433;SO51484;2478.34;2020-01-16
24681;SO53973;2453.04;2020-03-06
12355;SO55447;2350.96;2020-03-31
14683;SO55876;54.99;2020-04-08
28891;SO64707;38.98;2020-08-21
11561;SO54189;2294.99;2020-03-11
20728;SO59507;709.26;2020-06-05
24123;SO61698;7.28;2020-07-07
27695;SO72050;1120.49;2020-11-30
19318;SO72941;1754.98;2020-12-12
12206;SO46599;3578.27;2018-12-28
19324;SO49281;782.99;2019-08-11
11626;SO55856;2380.47;2020-04-07
28266;SO55517;4.99;2020-04-02
16616;SO43746;3578.27;2018-01-10
27755;SO57548;60.47;2020-05-06
11322;SO58363;2.29;2020-05-21
20256;SO62333;2451.3;2020-07-17
13049;SO70076;2351.96;2020-11-04
15582;SO72709;858.46;2020-12-09
18511;SO73157;2465.93;2020-12-15
26192;SO47936;782.99;2019-04-26
27618;SO63513;68.97;2020-08-03
16939;SO64758;29.98;2020-08-22
17985;SO68628;2319.99;2020-10-18
25906;SO70677;6.28;2020-11-13
13407;SO58471;2376.96;2020-05-23
19088;SO52031;2.29;2020-01-31
23503;SO54789;7.28;2020-03-21
20923;SO67822;777.34;2020-10-05
20577;SO72283;2297.28;2020-12-04
21789;SO57607;14.98;2020-05-07
11241;SO61171;553.97;2020-06-29
26138;SO69000;1174.48;2020-10-23
11974;SO72390;74.98;2020-12-05
13212;SO46913;2181.5625;2019-01-27
11564;SO47231;2049.0982;2019-02-16
11331;SO53632;99.53;2020-02-28
11751;SO54868;2430.96;2020-03-22
27430;SO62709;33.43;2020-07-24
23703;SO68215;34.98;2020-10-12
27573;SO70583;2419.06;2020-11-11
15657;SO46166;3578.27;2018-11-05
13705;SO48181;2443.35;2019-05-15
12500;SO65682;2403.96;2020-09-04
13967;SO73502;1274.33;2020-12-19
11467;SO74280;7.95;2021-01-02
18736;SO54807;2457.33;2020-03-21
17372;SO66254;1729.97;2020-09-12
28336;SO64625;138.97;2020-08-20
16456;SO65833;64.97;2020-09-06
28061;SO69852;2428.05;2020-11-01
27264;SO50520;2071.4196;2019-11-16
28381;SO66347;92.96;2020-09-14
16961;SO69704;2318.96;2020-10-30
11468;SO51878;2319.99;2020-01-28
11262;SO66099;127.95;2020-09-10
11429;SO72122;588.96;2020-12-01
28140;SO74101;39.98;2020-12-28
28101;SO52542;78.98;2020-02-10
14155;SO67778;2414.99;2020-10-05
16988;SO72088;4.99;2020-12-01
12942;SO56175;2319.99;2020-04-13
14854;SO63005;63.97;2020-07-29
11755;SO64388;8.99;2020-08-17
20931;SO72587;2490.18;2020-12-08
13736;SO73465;2297.28;2020-12-19
20000;SO45719;3374.99;2018-09-19
16319;SO54956;27.28;2020-03-24
22730;SO65586;4.99;2020-09-02
28067;SO43968;3578.27;2018-02-08
29350;SO45443;3578.27;2018-08-15
11840;SO57201;49.99;2020-04-30
23217;SO61476;563.77;2020-07-03
25712;SO71773;562.96;2020-11-28
28193;SO73624;2438.06;2020-12-21
12795;SO53790;37.27;2020-03-03
20603;SO56605;23.78;2020-04-22
17687;SO72374;39.98;2020-12-05
12339;SO46807;2071.4196;2019-01-13
21106;SO57435;1754.98;2020-05-04
19586;SO45464;3578.27;2018-08-20
20620;SO46534;3578.27;2018-12-19
11570;SO54376;2319.99;2020-03-14
15009;SO57935;36.96;2020-05-13
26872;SO64413;23.78;2020-08-17
19922;SO50933;782.99;2019-12-13
23486;SO45926;3578.27;2018-10-16
17494;SO58548;54.99;2020-05-24
18901;SO60183;35;2020-06-15
11627;SO65036;10.24;2020-08-27
21558;SO65857;2475.95;2020-09-06
27420;SO52498;69.99;2020-02-09
22082;SO56183;574.98;2020-04-13
17387;SO55195;37.27;2020-03-29
21665;SO56596;553.97;2020-04-21
29299;SO70247;548.98;2020-11-06
25952;SO66143;1223.84;2020-09-10
11219;SO69614;37.29;2020-10-29
28401;SO44227;3374.99;2018-03-21
15317;SO57716;54.98;2020-05-09
27856;SO67140;578.46;2020-09-26
20375;SO70142;2366.96;2020-11-05
14941;SO45149;3578.27;2018-07-14
27854;SO72165;750.3;2020-12-02
16575;SO47807;2181.5625;2019-04-10
19429;SO53342;1155.48;2020-02-25
11581;SO54503;6.28;2020-03-16
18932;SO58024;56.97;2020-05-15
14641;SO68506;35;2020-10-16
13102;SO55913;2386.94;2020-04-08
15123;SO62879;31.27;2020-07-27
24465;SO50770;2181.5625;2019-11-28
27941;SO60805;15.23;2020-06-24
14325;SO49784;2049.0982;2019-09-24
26375;SO47770;782.99;2019-04-04
17244;SO56546;53.99;2020-04-21
11999;SO63483;2334.97;2020-08-02
24408;SO71640;96.07;2020-11-27
11784;SO73275;69.97;2020-12-17
13146;SO58233;30.97;2020-05-18
26992;SO62689;583.97;2020-07-23
11034;SO70521;796.34;2020-11-10
11448;SO51197;2318.96;2019-12-29
24584;SO59583;30.48;2020-06-06
26019;SO65939;1174.48;2020-09-07
24139;SO70411;38.98;2020-11-09
18494;SO45018;3578.27;2018-06-28
17249;SO44195;3578.27;2018-03-14
28233;SO58085;21.49;2020-05-16
15164;SO62363;4.99;2020-07-18
24850;SO65890;624.97;2020-09-07
18256;SO66949;34.99;2020-09-24
14800;SO45616;3578.27;2018-09-03
21208;SO56913;39.98;2020-04-28
15560;SO57811;4.99;2020-05-11
27098;SO64479;68.97;2020-08-18
19853;SO68176;119.98;2020-10-11
15783;SO68957;63.97;2020-10-23
23836;SO71206;599.47;2020-11-20
16933;SO73140;39.98;2020-12-15
28649;SO44707;3578.27;2018-05-24
16935;SO61829;54.98;2020-07-09
20624;SO65009;2443.35;2020-08-26
15381;SO74492;4.99;2021-01-08
15346;SO47774;782.99;2019-04-05
26584;SO51935;33.98;2020-01-29
24025;SO65391;578.46;2020-08-29
23202;SO70041;32.28;2020-11-04
12415;SO71318;74.98;2020-11-22
24909;SO48262;1000.4375;2019-05-26
16205;SO49687;2181.5625;2019-09-12
15695;SO62097;2339.97;2020-07-14
19614;SO45476;3578.27;2018-08-22
13685;SO56485;2365.95;2020-04-20
14907;SO65418;127.28;2020-08-30
14555;SO68629;839.46;2020-10-18
17563;SO71125;2397.91;2020-11-19
12482;SO73908;49.99;2020-12-25
12213;SO48142;2049.0982;2019-05-09
21948;SO69945;2443.35;2020-11-03
20215;SO45964;3578.27;2018-10-21
25203;SO54369;1223.84;2020-03-13
24159;SO64162;574.98;2020-08-13
17062;SO54151;37.27;2020-03-10
22665;SO58080;586.97;2020-05-16
11631;SO58488;39.22;2020-05-23
19735;SO62068;572.26;2020-07-13
28611;SO54479;8.99;2020-03-16
25255;SO63773;32.6;2020-08-07
14824;SO70384;862.98;2020-11-09
17472;SO73743;4.99;2020-12-23
20168;SO74241;32.28;2020-12-31
19410;SO53340;1120.49;2020-02-25
11507;SO66786;4.99;2020-09-21
11203;SO55743;88.98;2020-04-06
13731;SO74961;21.98;2021-01-23
19741;SO68493;78.98;2020-10-16
12124;SO51441;2451.3;2020-01-13
16827;SO63833;2363.96;2020-08-08
26014;SO70655;1313.34;2020-11-12
12468;SO45139;3578.27;2018-07-12
12844;SO55004;56.97;2020-03-25
17977;SO69732;784.47;2020-10-31
20856;SO48240;782.99;2019-05-24
16771;SO53703;21.98;2020-03-01
14812;SO58872;63.97;2020-05-29
24926;SO73817;64.97;2020-12-24
25823;SO45439;699.0982;2018-08-14
22211;SO58043;37.27;2020-05-15
26640;SO64367;588.96;2020-08-16
19201;SO51685;1120.49;2020-01-27
20969;SO57990;38.98;2020-05-14
20791;SO59230;9.99;2020-06-01
20477;SO61686;68.97;2020-07-07
21749;SO71481;1155.48;2020-11-24
15699;SO46739;2181.5625;2019-01-05
17630;SO52391;4.99;2020-02-07
11417;SO69841;756.33;2020-11-01
20866;SO73114;2374.98;2020-12-15
19305;SO47870;1000.4375;2019-04-18
12677;SO56751;2294.99;2020-04-24
11519;SO69259;63.97;2020-10-27
19647;SO73202;195.59;2020-12-16
25641;SO51222;561.48;2019-12-30
11000;SO57418;2507.03;2020-05-03
22353;SO62493;39.98;2020-07-20
18383;SO63447;13.98;2020-08-02
20094;SO63781;13.98;2020-08-07
11094;SO64684;127.95;2020-08-21
22929;SO72249;2492.32;2020-12-03
19434;SO50081;782.99;2019-10-16
14546;SO54633;28.99;2020-03-18
11185;SO68206;31.27;2020-10-12
24998;SO55547;2438.06;2020-04-02
12123;SO71214;659.44;2020-11-20
16233;SO74670;114.46;2021-01-14
20421;SO57714;118.97;2020-05-09
11465;SO62085;2438.06;2020-07-13
29279;SO68389;819.31;2020-10-14
13929;SO75081;76.97;2021-01-27
13735;SO48442;2181.5625;2019-06-03
24827;SO55833;34.89;2020-04-07
13690;SO70222;1263.82;2020-11-06
12064;SO71734;47.94;2020-11-28
12251;SO46435;3374.99;2018-12-05
24244;SO50077;2443.35;2019-10-15
21438;SO51405;561.48;2020-01-10
15895;SO60793;61.96;2020-06-24
